Mechanism,NOx.Emissions,Temperature,HO2
RADM2,81530144,288.50,18.5590171702943
RADM2,86621256,288.50,18.5183517825704
RADM2,91767440,288.50,18.4674324443801
RADM2,96966512,288.50,18.4131425384759
RADM2,102214520,288.50,18.3495128813771
RADM2,107507816,288.50,18.2772130763453
RADM2,112842712,288.50,18.1968554807677
RADM2,118216240,288.50,18.1090004103268
RADM2,123626392,288.50,18.0141613431717
RADM2,129070496,288.50,17.9128170629816
RADM2,134547248,288.50,17.8054047200726
RADM2,140055232,288.50,17.6923354439085
RADM2,145592752,288.50,17.5802566948491
RADM2,151159696,288.50,17.4675829356374
RADM2,156754576,288.50,17.3503676703657
RADM2,162376272,288.50,17.2289144756421
RADM2,168023776,288.50,17.1035043766699
RADM2,173696144,288.50,16.9744045208642
RADM2,179392480,288.50,16.8430443203693
RADM2,185111456,288.50,16.7198477285524
RADM2,190852192,288.50,16.5936830248681
RADM2,196613344,288.50,16.4647497025161
RADM2,202394560,288.50,16.3332489894197
RADM2,208193888,288.50,16.2001956988123
RADM2,214009376,288.50,16.0783660690944
RADM2,219840048,288.50,15.9544651795462
RADM2,225685776,288.50,15.8286404816632
RADM2,231544800,288.50,15.7010515700051
RADM2,237415376,288.50,15.5801118534304
RADM2,243296512,288.50,15.4647440686606
RADM2,249187616,288.50,15.3479277897883
RADM2,255087408,288.50,15.2297705696691
RADM2,258040128,288.50,15.1702227169093
RADM2,317295264,288.50,14.2121791765759
RADM2,376372352,288.50,13.6156025690171
RADM2,434692736,288.50,13.2867180799301
RADM2,491939360,288.50,13.0126369748962
RADM2,547967360,288.50,12.8372798502419
RADM2,602739520,288.50,12.6452390225573
RADM2,656267904,288.50,12.4395849523951
RADM2,708601472,288.50,12.3055541451089
RADM2,759805568,288.50,12.2036122526814
RADM2,809948864,288.50,12.0933185340788
RADM2,859099200,288.50,11.9757702018997
RADM2,907318272,288.50,11.8519378339288
RADM2,954659008,288.50,11.7227651197371
RADM2,1001191552,288.50,11.5887403839832
RADM2,1046966976,288.50,11.4505939452503
RADM2,1092035968,288.50,11.3089581102455
RADM2,1136443648,288.50,11.2282813255482
