Mechanism,NOx.Emissions,Temperature,O3
CRI,1667936640,288.00,36.132438659668
CRI,1700424448,288.00,35.765567779541
CRI,1732573312,288.00,35.4041442871094
CRI,1764388992,288.00,35.0482788085938
CRI,970740.6875,288.50,36.8077850341797
CRI,2935199,288.50,36.8896446228027
CRI,4943369.5,288.50,36.9777450561523
CRI,7006619,288.50,37.0745010375977
CRI,9131332,288.50,37.1804656982422
CRI,11320654,288.50,37.2949333190918
CRI,13576163,288.50,37.4169769287109
CRI,15898738,288.50,37.5458335876465
CRI,18288958,288.50,37.6809158325195
CRI,20747204,288.50,37.8217849731445
CRI,23273758,288.50,37.9681015014648
CRI,25868720,288.50,38.1195869445801
CRI,28532208,288.50,38.2760009765625
CRI,31264082,288.50,38.4371147155762
CRI,34064172,288.50,38.6026992797852
CRI,36932132,288.50,38.7724952697754
CRI,39867556,288.50,38.9462661743164
CRI,42869788,288.50,39.1237907409668
CRI,45937980,288.50,39.3048248291016
CRI,49071268,288.50,39.4891242980957
CRI,52268552,288.50,39.6763725280762
CRI,55528732,288.50,39.8661422729492
CRI,58850504,288.50,40.0582313537598
CRI,62232280,288.50,40.2523651123047
CRI,65672556,288.50,40.4482650756836
CRI,69169672,288.50,40.6456336975098
CRI,72721928,288.50,40.8441429138184
CRI,76327712,288.50,41.0434074401855
CRI,79985200,288.50,41.2430686950684
CRI,83692320,288.50,41.4429092407227
CRI,87447192,288.50,41.6425170898438
CRI,91247880,288.50,41.8416748046875
CRI,95092640,288.50,42.0401000976562
CRI,98979472,288.50,42.2731475830078
CRI,102906568,288.50,42.5200424194336
CRI,106871976,288.50,42.7787551879883
CRI,110873864,288.50,43.0352973937988
CRI,114910696,288.50,43.2893600463867
CRI,118980648,288.50,43.5406608581543
CRI,123082072,288.50,43.8027877807617
CRI,127213656,288.50,44.0621643066406
CRI,131373784,288.50,44.3179626464844
CRI,135561488,288.50,44.5699462890625
CRI,139775296,288.50,44.8178863525391
CRI,144014336,288.50,45.0615882873535
CRI,148277392,288.50,45.3008575439453
CRI,152563440,288.50,45.5451583862305
CRI,156871456,288.50,45.7877578735352
CRI,161200992,288.50,46.0254249572754
CRI,165551024,288.50,46.2580337524414
CRI,167733520,288.50,46.3724021911621
CRI,212303152,288.50,48.4065475463867
CRI,258272432,288.50,49.9465980529785
CRI,305192000,288.50,51.0213432312012
CRI,352682432,288.50,51.639476776123
CRI,400422048,288.50,51.9579772949219
CRI,448165664,288.50,51.965934753418
CRI,495726048,288.50,51.8126983642578
CRI,542967552,288.50,51.4766273498535
CRI,589788352,288.50,51.0535621643066
CRI,636114816,288.50,50.5414886474609
CRI,681901312,288.50,49.9662437438965
CRI,727115136,288.50,49.3766593933105
CRI,771742208,288.50,48.7396430969238
CRI,815776576,288.50,48.1041641235352
CRI,859220672,288.50,47.4667053222656
CRI,902074688,288.50,46.8106422424316
CRI,944345600,288.50,46.1758422851562
CRI,986043968,288.50,45.552433013916
CRI,1027179968,288.50,44.9234161376953
CRI,1067766272,288.50,44.3056411743164
CRI,1107814016,288.50,43.7241592407227
CRI,1147342464,288.50,43.1432304382324
CRI,1186362880,288.50,42.5650634765625
CRI,1224884864,288.50,42.0095291137695
CRI,1262924544,288.50,41.4855575561523
CRI,1300492288,288.50,40.9656524658203
CRI,1337601024,288.50,40.4509925842285
CRI,1374260480,288.50,39.9425048828125
CRI,1410483200,288.50,39.4760513305664
CRI,1446278784,288.50,39.0208892822266
CRI,1481657984,288.50,38.5711441040039
CRI,1516631296,288.50,38.1273384094238
CRI,1551209728,288.50,37.6898880004883
CRI,1585402880,288.50,37.272819519043
CRI,1619219200,288.50,36.8856735229492
CRI,1652670464,288.50,36.5035858154297
CRI,1685763072,288.50,36.1267929077148
CRI,1718505728,288.50,35.7554779052734
CRI,1750904576,288.50,35.3897819519043
CRI,1782967936,288.50,35.0297927856445
CRI,988936.125,289.00,36.7996368408203
CRI,2990401,289.00,36.8840637207031
CRI,5036601,289.00,36.9746971130371
CRI,7139043.5,289.00,37.074047088623
CRI,9304184,289.00,37.1827278137207
CRI,11535152,289.00,37.3000373840332
CRI,13833546,289.00,37.4250526428223
CRI,16200222,289.00,37.5570068359375
CRI,18635732,289.00,37.6953048706055
CRI,21140428,289.00,37.8395004272461
CRI,23714570,289.00,37.9892387390137
CRI,26358284,289.00,38.1442451477051
CRI,29071578,289.00,38.3042678833008
CRI,31854364,289.00,38.4690589904785
CRI,34706324,289.00,38.6383781433105
CRI,37627216,289.00,38.8119735717773
CRI,40616408,289.00,38.989574432373
CRI,43673292,289.00,39.1709671020508
