Mechanism,NOx.Emissions,Temperature,H2O2
RADM2,134547248,288.50,0.375621089787614
RADM2,140055232,288.50,0.37141648090433
RADM2,145592752,288.50,0.367177233062677
RADM2,151159696,288.50,0.362788021845972
RADM2,156754576,288.50,0.358263391175839
RADM2,162376272,288.50,0.353618190285232
RADM2,168023776,288.50,0.348866019406202
RADM2,173696144,288.50,0.34401972937026
RADM2,179392480,288.50,0.339091393852797
RADM2,185111456,288.50,0.334092392639818
RADM2,190852192,288.50,0.329033439383508
RADM2,196613344,288.50,0.323924692624544
RADM2,202394560,288.50,0.318887888317576
RADM2,208193888,288.50,0.314128056899676
RADM2,214009376,288.50,0.309334446946252
RADM2,219840048,288.50,0.304514718996174
RADM2,225685776,288.50,0.299676061743526
RADM2,231544800,288.50,0.294825663882392
RADM2,237415376,288.50,0.289969714906135
RADM2,243296512,288.50,0.285114376552542
RADM2,249187616,288.50,0.280265449736916
RADM2,255087408,288.50,0.275428402307654
RADM2,258040128,288.50,0.27301597094187
RADM2,317295264,288.50,0.227634106009234
RADM2,376372352,288.50,0.189562074370819
RADM2,434692736,288.50,0.161914329166457
RADM2,491939360,288.50,0.142528044921875
RADM2,547967360,288.50,0.128052179970695
RADM2,602739520,288.50,0.117056267456839
RADM2,656267904,288.50,0.108375058927024
RADM2,708601472,288.50,0.101443416167246
RADM2,759805568,288.50,0.0952428969025476
RADM2,809948864,288.50,0.0904847655136543
RADM2,859099200,288.50,0.0859292845212245
RADM2,907318272,288.50,0.082051192229482
RADM2,954659008,288.50,0.0788282703001464
RADM2,1001191552,288.50,0.0757087240121912
RADM2,1046966976,288.50,0.0727020665891587
RADM2,1092035968,288.50,0.0700138141906947
RADM2,1136443648,288.50,0.0679492156985262
RADM2,1180226048,288.50,0.0659294285831891
RADM2,1223418368,288.50,0.0639586925088587
RADM2,1266050560,288.50,0.0620396234385368
RADM2,1308151296,288.50,0.0601749414186337
RADM2,1349743872,288.50,0.0583665130116096
RADM2,1390855936,288.50,0.0566154935432994
RADM2,1431511552,288.50,0.0552389557706423
RADM2,1471736960,288.50,0.0540564953910305
RADM2,1511534976,288.50,0.05289091387084
RADM2,1550928000,288.50,0.0517437759306461
RADM2,1589922560,288.50,0.0506163652658209
RADM2,1628536832,288.50,0.049509736588238
RADM2,1666783360,288.50,0.0484247399124005
RADM2,1704672256,288.50,0.0473620344332293
RADM2,1742217728,288.50,0.0463221058732977
RADM2,1779429248,288.50,0.0453053011773008
RADM2,1816326912,288.50,0.0443129213878457
RADM2,1852918016,288.50,0.0433443038405645
RADM2,1889202432,288.50,0.0423991050602091
RADM2,1925196928,288.50,0.0414772313717116
RADM2,1960896384,288.50,0.0405785058332775
RADM2,1996307840,288.50,0.0397026890530672
RADM2,2031438848,288.50,0.0390748822187703
RADM2,1792858.5,289.50,0.106317475656592
RADM2,5504838,289.50,0.210247222409699
RADM2,9355964,289.50,0.272993100347563
RADM2,13326697,289.50,0.312847386885196
RADM2,17406782,289.50,0.340473926829787
RADM2,21589202,289.50,0.360823926293108
RADM2,25868538,289.50,0.376320724582158
RADM2,30239506,289.50,0.388367504822185
RADM2,34697616,289.50,0.397817084829555
RADM2,39238804,289.50,0.405223354871254
RADM2,43859460,289.50,0.410968675756962
RADM2,48556156,289.50,0.415328132996606
RADM2,53325776,289.50,0.418507783983557
RADM2,58165480,289.50,0.420666501632638
RADM2,63072372,289.50,0.42193096239096
RADM2,68044288,289.50,0.422405777023016
RADM2,73079144,289.50,0.422178542125451
RADM2,78176032,289.50,0.42132594635369
RADM2,83333920,289.50,0.419910578530747
RADM2,88551120,289.50,0.418246298705682
RADM2,93825336,289.50,0.416250423018738
RADM2,99152552,289.50,0.413841794166814
RADM2,104528888,289.50,0.411060907534733
RADM2,109950192,289.50,0.407940098368087
RADM2,115413648,289.50,0.404510508422717
RADM2,120916904,289.50,0.400800753697084
RADM2,126457360,289.50,0.396837201988021
RADM2,132033264,289.50,0.392644028401889
RADM2,137643056,289.50,0.388243603932636
RADM2,143285200,289.50,0.383674148007884
RADM2,148959648,289.50,0.379357767421595
RADM2,154664784,289.50,0.374885206211317
RADM2,160399792,289.50,0.370272368321878
RADM2,166163600,289.50,0.365534352786412
RADM2,171955328,289.50,0.360686230882479
RADM2,177773872,289.50,0.355740742419286
RADM2,183617664,289.50,0.350709655760895
RADM2,189485664,289.50,0.345604517226761
RADM2,195377632,289.50,0.340436345780404
RADM2,201291408,289.50,0.335215438740377
RADM2,207225040,289.50,0.329951538313722
RADM2,213177456,289.50,0.324894833259037
RADM2,219147920,289.50,0.319992948805137
RADM2,225135152,289.50,0.315062836930835
RADM2,231136896,289.50,0.310111908374822
RADM2,237152624,289.50,0.305147185297727
