Mechanism,NOx.Emissions,NOx,Temperature,O3,VOCR,H2O2,OH,HO2,HCHO,RO2NO2,RONO2,HNO3
CB05,606461120,12.9813528815248,297.00,65.0911102294922,30.3605060577393,0.151730336628297,0.113781258178312,11.7784939787646,5.30625232642024,0.00222892559444132,1.75741732277856,1.18990561848165
CB05,616917376,13.2318653811581,297.00,64.887451171875,30.4601573944092,0.141361880534596,0.113230842616659,11.3646045699078,5.28081356421239,0.00220744733256395,1.73817482629346,1.20529441982598
CB05,627373696,13.4824116315713,297.00,64.6682281494141,30.5594158172607,0.13146153610144,0.112594741202062,10.9500550987685,5.2548854156953,0.00218637803174604,1.71753156141818,1.21986098999827
CB05,637829824,13.7378108888697,297.00,64.4744338989258,30.6582775115967,0.122047011386073,0.111883667207237,10.5374641304334,5.22851717477124,0.00216569644162501,1.69566105601149,1.23362953186046
CB05,648286080,13.9946729760254,297.00,64.2623062133789,30.756742477417,0.113130241286008,0.111107263255257,10.1292689513865,5.20175369445042,0.00214537979395524,1.67273217499542,1.24662458134139
CB05,658742336,14.2515492740358,297.00,64.0332870483398,30.8548011779785,0.104937877831723,0.110274724735796,9.72608712318523,5.17463938365381,0.00212540618785284,1.64890645582005,1.26013177670359
CB05,669198528,14.5084371183657,297.00,63.7888832092285,30.9524574279785,0.0972362190765352,0.109393993429768,9.33282964798998,5.14721465449952,0.00210575307191263,1.62705959816378,1.27419319539968
CB05,679654784,14.7653338444798,297.00,63.5304985046387,31.0497169494629,0.0915475195650828,0.108472272505357,8.9496153543589,5.11951281367828,0.00208639876209116,1.6046082240706,1.2874897814541
CB05,690111040,15.0222412287349,297.00,63.2595329284668,31.146577835083,0.0924401527546692,0.107516067175597,8.81808081415469,5.09156672379163,0.00206732157434497,1.58141499895237,1.30004562670649
CB05,700567168,15.2791539420605,297.00,62.9773406982422,31.2430419921875,0.0933267074731958,0.106531211803429,8.86079057349498,5.06341013561951,0.00204850199303497,1.55761481490657,1.31188571117491
