Mechanism,NOx.Emissions,Temperature,O3,VOCR,H2O2,OH,HO2,HCHO,RO2NO2,RONO2,HNO3
MOZART,92444464,288.00,42.2848129272461,30.3330688476562,0.204331301878469,0.126381056227837,12.6938615868655,1.60416546712838,0.326872112710319,0.361456697905993,0.0404100433670784
MOZART,97271648,288.00,42.6352119445801,30.2806377410889,0.205114966678188,0.130513574123428,12.7444929609588,1.65580904543106,0.33869951288068,0.38283087810953,0.044000157684021
MOZART,102158216,288.00,42.9843940734863,30.2281169891357,0.205640171557775,0.134538024167477,12.789411023284,1.70658176479321,0.350189766074038,0.40471623274918,0.0491651927503334
MOZART,107101176,288.00,43.3412590026855,30.1755142211914,0.20591305049944,0.138455449904575,12.8287085815471,1.75641090560674,0.361341401244886,0.427046509265949,0.0546835111914223
MOZART,112097248,288.00,43.7016448974609,30.1228656768799,0.205940223207968,0.142261392553286,12.8624619635809,1.80523107573549,0.372155362082793,0.449753539966125,0.0605562891498046
MOZART,117143744,288.00,44.0563583374023,30.0701923370361,0.205893982418992,0.146070465835771,12.8907353541541,1.85298398847067,0.382634895990108,0.472767991421819,0.0667830374334599
MOZART,122237624,288.00,44.4049072265625,30.0175094604492,0.205712710754646,0.149805379689658,12.9135825296944,1.89961846253084,0.393177934654432,0.496020668983022,0.0733617680492848
MOZART,127376472,288.00,44.760440826416,29.96484375,0.205319275470295,0.15342599152951,12.9310468582888,1.94509208739646,0.403480610033924,0.519443821289656,0.0802894417617495
MOZART,132557568,288.00,45.1139221191406,29.9121875762939,0.204720712604356,0.156932057409839,12.9431699733007,1.98936889184154,0.41347236745537,0.542970612915639,0.0875615066564528
MOZART,137778688,288.00,45.4599113464355,29.8595771789551,0.203924530040034,0.160323956801406,12.9499952428169,2.03241978802282,0.423158452722561,0.566536373369786,0.0951721548791973
MOZART,143037456,288.00,45.7980613708496,29.8070297241211,0.202938721383106,0.163602177595187,12.9515643002009,2.07422279352443,0.432545221862313,0.590079096696172,0.103114426719397
MOZART,148331936,288.00,46.1280364990234,29.7545471191406,0.201771682695195,0.166767654915558,12.9479205135397,2.11637773972484,0.441640002346588,0.613539219429526,0.111380307754594
MOZART,153660064,288.00,46.4495620727539,29.7021427154541,0.200432198615985,0.169821649147542,12.9477010710199,2.15826401195329,0.450450787781165,0.636860508773651,0.119960832933863
MOZART,159020432,288.00,46.7743911743164,29.6518287658691,0.199074187690051,0.172765705279236,12.9483038874278,2.19901008513546,0.45898651546139,0.659991061802145,0.128846516789238
MOZART,164410688,288.00,47.0945625305176,29.6121025085449,0.197752633712689,0.175601530929062,12.9447980112829,2.23859619730149,0.467254956948437,0.682878531499398,0.138025715856749
MOZART,169829712,288.00,47.4054908752441,29.5724391937256,0.19628729197585,0.178330901478077,12.9372190044164,2.27701657529167,0.475265604649167,0.705477731788307,0.147487452806239
MOZART,175275728,288.00,47.7069816589355,29.5328540802002,0.194686058940796,0.180955605859866,12.925604163383,2.31426633412468,0.483242112991888,0.727745974593574,0.157219709473466
MOZART,180747808,288.00,47.9988861083984,29.4933395385742,0.192957025357821,0.183477378797904,12.9099942541844,2.35034480766672,0.491194529494976,0.749798667598611,0.167209815438163
MOZART,186244112,288.00,48.2810516357422,29.453914642334,0.19110850402182,0.185897873700505,12.8904291754606,2.38525577067605,0.498903696133368,0.771888719608427,0.177444170468277
MOZART,191763888,288.00,48.5533714294434,29.4145832061768,0.189148668949812,0.188218622003238,12.8669574994689,2.41900433017861,0.506376829356725,0.793574761459581,0.187909493520877
MOZART,197305952,288.00,48.8157501220703,29.3753414154053,0.187276832930294,0.190441128036616,12.8396277984666,2.45159981204779,0.51362131214816,0.814824652195512,0.198591962319306
MOZART,202869024,288.00,49.068473815918,29.3362121582031,0.185482657011349,0.192566760605882,12.808492114158,2.48305420669226,0.52064419442388,0.835608915394914,0.209477241108758
MOZART,208452224,288.00,49.3255310058594,29.297191619873,0.183596429725874,0.194596820753644,12.7736076924179,2.51472931367402,0.527452526100092,0.855901571839013,0.220550813723186
MOZART,214054496,288.00,49.5724449157715,29.258279800415,0.18162492343432,0.196532582417454,12.7350335138443,2.5471760256579,0.534053190559547,0.875679140310837,0.231797983585302
MOZART,219675040,288.00,49.809196472168,29.2194862365723,0.179574924374926,0.198375211114647,12.6928346305677,2.57858823182744,0.54045268260694,0.894921248217884,0.243203929217728
MOZART,225313008,288.00,50.0357780456543,29.1808223724365,0.177453093885838,0.200125899467614,12.6470778294419,2.60897503601143,0.546657330513511,0.913610076480609,0.254753745876357
MOZART,228138096,288.00,50.1452560424805,29.1615390777588,0.17636732352333,0.200967118380718,12.6228879779311,2.62378696547216,0.549688461415343,0.922742104947361,0.260577948107965
MOZART,285353920,288.00,51.864330291748,28.7835445404053,0.156080995350472,0.214001220715486,11.9719321262091,2.87306689550348,0.603308514257606,1.07472153398902,0.383543335980008
MOZART,343480096,288.00,52.79296875,28.4792346954346,0.136994193766782,0.219917589997995,11.2594569084967,3.0696376551731,0.643334274741392,1.17632215079766,0.506908959252428
MOZART,401982720,288.00,53.1205978393555,28.2218284606934,0.119610793491987,0.219318730928023,10.5844369727159,3.21312132456342,0.673979871912422,1.2317918907101,0.62109967169377
