Mechanism,NOx.Emissions,Temperature,HCHO
RADM2,1628536832,288.50,4.20730827954685
RADM2,1666783360,288.50,4.18459356055223
RADM2,1704672256,288.50,4.16212975196117
RADM2,1742217728,288.50,4.13992262693341
RADM2,1779429248,288.50,4.11797618227183
RADM2,1816326912,288.50,4.09631217834772
RADM2,1852918016,288.50,4.07491773657398
RADM2,1889202432,288.50,4.05378663970168
RADM2,1925196928,288.50,4.03291933182004
RADM2,1960896384,288.50,4.01231492475063
RADM2,1996307840,288.50,3.99197119804739
RADM2,2031438848,288.50,3.9718859312643
RADM2,1792858.5,289.50,0.965754476389691
RADM2,5504838,289.50,1.13592824035891
RADM2,9355964,289.50,1.2930578829895
RADM2,13326697,289.50,1.43583755995991
RADM2,17406782,289.50,1.57279511636688
RADM2,21589202,289.50,1.70246117203732
RADM2,25868538,289.50,1.82508563817407
RADM2,30239506,289.50,1.94159333055666
RADM2,34697616,289.50,2.05258321450685
RADM2,39238804,289.50,2.15847406614955
RADM2,43859460,289.50,2.25960494759647
RADM2,48556156,289.50,2.35625052802391
RADM2,53325776,289.50,2.4486470628915
RADM2,58165480,289.50,2.53699239394223
RADM2,63072372,289.50,2.62148436291909
RADM2,68044288,289.50,2.70230282595207
RADM2,73079144,289.50,2.77962630690354
RADM2,78176032,289.50,2.8536000229451
RADM2,83333920,289.50,2.92439827909163
RADM2,88551120,289.50,2.99217228771909
RADM2,93825336,289.50,3.05706571168685
RADM2,99152552,289.50,3.11921555251615
RADM2,104528888,289.50,3.17872927979579
RADM2,109950192,289.50,3.23575521932185
RADM2,115413648,289.50,3.29041571767164
RADM2,120916904,289.50,3.34282468372749
RADM2,126457360,289.50,3.3930949161487
RADM2,132033264,289.50,3.44133055385498
RADM2,137643056,289.50,3.48763085078474
RADM2,143285200,289.50,3.53208973180585
RADM2,148959648,289.50,3.57479668089411
RADM2,154664784,289.50,3.61583607499938
RADM2,160399792,289.50,3.6570040329309
RADM2,166163600,289.50,3.69729979965427
RADM2,171955328,289.50,3.73613451287724
RADM2,177773872,289.50,3.77357167735681
RADM2,183617664,289.50,3.80967435376078
RADM2,189485664,289.50,3.84449716506197
RADM2,195377632,289.50,3.87809340196554
RADM2,201291408,289.50,3.91051235837381
