Mechanism,NOx.Emissions,Temperature,O3,H2O2,OH,HO2,HCHO,RO2NO2,RONO2,HNO3
CRI,41209544,288.00,40,0.12801827653508,0.0610403248129179,9.26387092037295,1.38168099184099,0.214116682717425,0.12907801216766,0.00926353611874209
CRI,45297792,288.00,40,0.131262681279942,0.0648569536292921,9.38017979262851,1.4657194347123,0.232887098494672,0.143628081650249,0.0107947374997086
CRI,49608524,288.00,40,0.13432238654687,0.0687957584779783,9.48907792619469,1.5527062968701,0.252208282036648,0.159590118897768,0.0125014998353379
CRI,54143840,288.00,40.0241737365723,0.137192174287648,0.07283773193964,9.59054537175152,1.64231483967825,0.272009137436413,0.177050249461352,0.0143923874554308
CRI,58905616,288.00,40.3209228515625,0.139863801096318,0.076963914028786,9.68451274035997,1.73418623905519,0.292215057706713,0.19609300294654,0.016475191003118
CRI,63895496,288.00,40.6278038024902,0.14232676148751,0.0811557513357396,9.77093059240097,1.82793413738835,0.312749603992302,0.216744247549805,0.0187677963447985
CRI,69114800,288.00,40.9437942504883,0.144568815252377,0.0853951309079566,9.84964627220863,1.92314808522553,0.333535643548544,0.239031350268704,0.0212699181184606
CRI,74564928,288.00,41.2678184509277,0.146576847881441,0.0896646106429873,9.92042645947544,2.01939931443462,0.354701712446115,0.262962429609104,0.02413031927051
CRI,80247168,288.00,41.5987243652344,0.148337370164953,0.0939475615900111,9.98297104704005,2.11624917589859,0.376135317337045,0.288525286995522,0.028131715706925
CRI,86162448,288.00,41.9353218078613,0.149837198204494,0.0982282560412634,10.0369365596542,2.21325313631837,0.397656019224257,0.315685894092255,0.0326194522781709
CRI,92311688,288.00,42.3209495544434,0.15106396689113,0.102491840426981,10.0819482970471,2.31005681250451,0.419195345102708,0.344388323414435,0.037626003007718
CRI,98695888,288.00,42.7742691040039,0.152006629505763,0.106724328539139,10.1176176811602,2.40891284697398,0.440688902036968,0.37455530343955,0.0431829016989127
CRI,105315712,288.00,43.2343978881836,0.152655929563927,0.110912567650133,10.1435491950408,2.50720955108363,0.462077043295039,0.406088912496827,0.0493204609097742
CRI,112171920,288.00,43.719913482666,0.15300478939384,0.115044191078932,10.1593559953539,2.60454990907988,0.483305340193141,0.438872188590622,0.0560674943972383
CRI,119265320,288.00,44.208683013916,0.153048504425435,0.11910748266581,10.1725520368356,2.70055688922355,0.504325303740671,0.472772043735858,0.063451244258772
CRI,126596256,288.00,44.6957511901855,0.152785104012843,0.123091369996081,10.1781378464283,2.79486478405033,0.525091747860529,0.507636988000826,0.0714962533621133
CRI,134165464,288.00,45.1967277526855,0.152215406945544,0.127013335829776,10.1742295144369,2.88714452345573,0.545566980481027,0.543306455380588,0.0802255206711067
CRI,141973376,288.00,45.700984954834,0.151460496922162,0.130951998376927,10.1605486177436,2.97709368268784,0.565909763494687,0.579608527839781,0.0896593146948454
CRI,150020656,288.00,46.198673248291,0.150531850873215,0.134787011196388,10.1368488256148,3.06664249549726,0.586330262120072,0.616363904359929,0.0998151769571187
CRI,158307472,288.00,46.6880493164062,0.149325121712174,0.138509361857601,10.1029228385952,3.1571565362043,0.606387828838706,0.653860021682107,0.110707283618172
CRI,166834608,288.00,47.167423248291,0.147849066323147,0.142110376743186,10.0586006537839,3.24511972848995,0.626054263985765,0.691985968526154,0.122347021402902
CRI,175602192,288.00,47.6574211120605,0.146114939592046,0.145581707496414,10.0115445447746,3.3303142465968,0.645304754076648,0.730114746438915,0.13474210636133
CRI,184610736,288.00,48.1359100341797,0.144136272361983,0.148915154838357,9.9655032489987,3.41255246283367,0.66411653953935,0.768054564392884,0.147896292435057
CRI,193860592,288.00,48.5996551513672,0.142020242788199,0.152102655015356,9.91030608271659,3.4916776137095,0.682469303292521,0.805615907317758,0.161809246557176
CRI,203351696,288.00,49.0470809936523,0.139900660500736,0.155136239141443,9.84589233060662,3.56756202357644,0.700344338078196,0.84261403410224,0.176476236402046
CRI,213084848,288.00,49.4766654968262,0.137584096893129,0.158007951883178,9.7722463801575,3.64392005458569,0.717723880327981,0.878870809462029,0.191887977729621
CRI,223059840,288.00,49.8869667053223,0.135087704911108,0.160710014089974,9.68939685430659,3.7208440772929,0.734591998341472,0.914215980696298,0.208030453974217
CRI,228138096,288.00,50.0844612121582,0.133777738886565,0.161995010504803,9.64454297674999,3.75812225783534,0.742829131539224,0.931496324518832,0.216369991368204
CRI,342424864,288.00,53.0484580993652,0.105927044913301,0.177946741543311,8.56774894086865,4.36952873883456,0.883815243213348,1.21096954686095,0.417323037238404
CRI,480871840,288.00,53.6308517456055,0.0802036631553094,0.174641361485109,7.11017052526519,4.76433958951361,0.970984959103305,1.32838717803452,0.649450548895203
CRI,643172736,288.00,52.1947250366211,0.0605203803738519,0.157482195144686,5.76843260657878,4.96136065564201,1.01053210244118,1.30859556524143,0.870024718935269
CRI,828820288,288.00,49.502140045166,0.0468768357464455,0.134619149595033,4.64299172026061,5.01333730085207,1.01396346874338,1.20492504862568,1.05078279410975
CRI,1037168128,288.00,46.096321105957,0.0381231261836756,0.112388925748406,3.74314858622715,4.93672480672558,0.99354746652125,1.06171105240804,1.18072940313851
CRI,1267529600,288.00,42.4793853759766,0.0324011269203783,0.0932890578480249,3.06542573443036,4.7989416884775,0.957739221263409,0.911327513453131,1.26637966779697
CRI,1519195392,288.00,40,0.028430372639443,0.0775863883773278,2.95516540925467,4.61100357895816,0.914416320441092,0.765640717492744,1.3083102379241
CRI,1791468032,288.00,40,0.0253254899690303,0.0648774111690342,2.82826214705045,4.3912660174783,0.86593104908772,0.635653030212069,1.31479527265554
CRI,2083689984,288.00,40,0.0226865574937118,0.0546936187474905,2.76844627951356,4.15566914213628,0.815541245646756,0.522953069737042,1.29428834316769
CRI,2395268352,288.00,40,0.0203487383193535,0.046543091646381,2.71311163639598,3.91496079998888,0.76524919734311,0.427446800177478,1.25681731688587
