Mechanism,NOx.Emissions,Temperature,OH
RADM2,42953356,288.50,0.0617639077903076
RADM2,47547396,288.50,0.0653411989771056
RADM2,52211760,288.50,0.0689124592893192
RADM2,56943544,288.50,0.0724749104588814
RADM2,61740056,288.50,0.0760262959900206
RADM2,66598916,288.50,0.0795648133966251
RADM2,71517880,288.50,0.0830890464396071
RADM2,76495288,288.50,0.0865984394653532
RADM2,81530144,288.50,0.0900935887850583
RADM2,86621256,288.50,0.0935733153288598
RADM2,91767440,288.50,0.0970321438757867
RADM2,96966512,288.50,0.100469369694427
RADM2,102214520,288.50,0.103876454692672
RADM2,107507816,288.50,0.107245870441686
RADM2,112842712,288.50,0.110570054631318
RADM2,118216240,288.50,0.113844995713527
RADM2,123626392,288.50,0.117056998859624
RADM2,129070496,288.50,0.120218559499646
RADM2,134547248,288.50,0.123327427914086
RADM2,140055232,288.50,0.126382492795715
RADM2,145592752,288.50,0.129383794802117
RADM2,151159696,288.50,0.132334816932769
RADM2,156754576,288.50,0.135233634728817
RADM2,162376272,288.50,0.138082890933054
RADM2,168023776,288.50,0.140883019226351
RADM2,173696144,288.50,0.143633870530908
RADM2,179392480,288.50,0.146334767220369
RADM2,185111456,288.50,0.149000861020092
RADM2,190852192,288.50,0.151659419614716
RADM2,196613344,288.50,0.154268633457966
RADM2,202394560,288.50,0.1568288820206
RADM2,208193888,288.50,0.159337170194118
RADM2,214009376,288.50,0.16179101786605
RADM2,219840048,288.50,0.164190316616179
RADM2,225685776,288.50,0.16653547302032
RADM2,231544800,288.50,0.168824765907523
RADM2,237415376,288.50,0.171055606745102
RADM2,243296512,288.50,0.173227019751102
RADM2,249187616,288.50,0.175339194660902
RADM2,255087408,288.50,0.177391020167277
RADM2,258040128,288.50,0.178393717441445
RADM2,317295264,288.50,0.195109445093322
RADM2,376372352,288.50,0.205372801013667
RADM2,434692736,288.50,0.210741621094017
RADM2,491939360,288.50,0.211519143129488
RADM2,547967360,288.50,0.208915268981938
RADM2,602739520,288.50,0.204540486110905
RADM2,656267904,288.50,0.19814479104794
RADM2,708601472,288.50,0.191898702332251
RADM2,759805568,288.50,0.184795877059864
RADM2,809948864,288.50,0.177653397093018
RADM2,859099200,288.50,0.1709628803543
RADM2,907318272,288.50,0.164218289032229
RADM2,954659008,288.50,0.157578133484423
RADM2,1001191552,288.50,0.151440464985983
RADM2,1046966976,288.50,0.145787611041497
RADM2,1092035968,288.50,0.140340728404728
RADM2,1136443648,288.50,0.135132194063053
RADM2,1180226048,288.50,0.130175303045613
RADM2,1223418368,288.50,0.125474107558025
RADM2,1266050560,288.50,0.121025544729154
RADM2,1308151296,288.50,0.116885789784062
RADM2,1349743872,288.50,0.113087694048573
