Mechanism,Temperature,Max.NOx.Mixing.Ratio,Total.NOx.Emissions,Reaction,Rate,Net.Reaction.Rate
CB05,288,3.67696234571113e-10,56350692,HO2NO2 = HO2 + NO2,-106921368,8696463
CB05,288,3.67696234571113e-10,56350692,PAN = C2O3 + NO2,-9449630,8696463
CB05,288,3.67696234571113e-10,56350692,PANX = CXO3 + NO2,-8584779,8696463
CB05,288,3.67696234571113e-10,56350692,PAN = UNITY,-3048831,8696463
CB05,288,3.67696234571113e-10,56350692,PANX = UNITY,-2702427.75,8696463
CB05,288,3.67696234571113e-10,56350692,Others,-18915.2788085938,8696463
CB05,288,3.67696234571113e-10,56350692,HO2 + NO2 = HO2NO2,107147992,8696463
CB05,288,3.67696234571113e-10,56350692,C2O3 + NO2 = PAN,16851182,8696463
CB05,288,3.67696234571113e-10,56350692,CXO3 + NO2 = PANX,15423258,8696463
CB05,288,3.98222260722392e-10,60587812,HO2NO2 = HO2 + NO2,-115963584,9267107
CB05,288,3.98222260722392e-10,60587812,PAN = C2O3 + NO2,-10112637,9267107
CB05,288,3.98222260722392e-10,60587812,PANX = CXO3 + NO2,-9123012,9267107
CB05,288,3.98222260722392e-10,60587812,PAN = UNITY,-3262250.5,9267107
CB05,288,3.98222260722392e-10,60587812,PANX = UNITY,-2869549,9267107
CB05,288,3.98222260722392e-10,60587812,Others,-21474.53125,9267107
CB05,288,3.98222260722392e-10,60587812,HO2 + NO2 = HO2NO2,116210016,9267107
CB05,288,3.98222260722392e-10,60587812,C2O3 + NO2 = PAN,18028284,9267107
CB05,288,3.98222260722392e-10,60587812,CXO3 + NO2 = PANX,16381326,9267107
CB05,288,4.29448754335482e-10,64909344,HO2NO2 = HO2 + NO2,-125118120,9855248
CB05,288,4.29448754335482e-10,64909344,PAN = C2O3 + NO2,-10791433,9855248
CB05,288,4.29448754335482e-10,64909344,PANX = CXO3 + NO2,-9685437,9855248
CB05,288,4.29448754335482e-10,64909344,PAN = UNITY,-3480548,9855248
CB05,288,4.29448754335482e-10,64909344,PANX = UNITY,-3044641.5,9855248
CB05,288,4.29448754335482e-10,64909344,Others,-24238.2177734375,9855248
CB05,288,4.29448754335482e-10,64909344,HO2 + NO2 = HO2NO2,125384640,9855248
CB05,288,4.29448754335482e-10,64909344,C2O3 + NO2 = PAN,19233070,9855248
CB05,288,4.29448754335482e-10,64909344,CXO3 + NO2 = PANX,17381928,9855248
CB05,288,4.61374882743115e-10,69312504,HO2NO2 = HO2 + NO2,-134368144,10460342
CB05,288,4.61374882743115e-10,69312504,PAN = C2O3 + NO2,-11485305,10460342
CB05,288,4.61374882743115e-10,69312504,PANX = CXO3 + NO2,-10271366,10460342
CB05,288,4.61374882743115e-10,69312504,PAN = UNITY,-3703458,10460342
CB05,288,4.61374882743115e-10,69312504,PANX = UNITY,-3227463.25,10460342
CB05,288,4.61374882743115e-10,69312504,Others,-27209.0546875,10460342
CB05,288,4.61374882743115e-10,69312504,HO2 + NO2 = HO2NO2,134655136,10460342
CB05,288,4.61374882743115e-10,69312504,C2O3 + NO2 = PAN,20464250,10460342
CB05,288,4.61374882743115e-10,69312504,CXO3 + NO2 = PANX,18423852,10460342
CB05,288,4.94058738365055e-10,73794288,HO2NO2 = HO2 + NO2,-143698032,11081846
CB05,288,4.94058738365055e-10,73794288,PAN = C2O3 + NO2,-12193414,11081846
CB05,288,4.94058738365055e-10,73794288,PANX = CXO3 + NO2,-10879985,11081846
CB05,288,4.94058738365055e-10,73794288,PAN = UNITY,-3930687.25,11081846
CB05,288,4.94058738365055e-10,73794288,PANX = UNITY,-3417734.5,11081846
CB05,288,4.94058738365055e-10,73794288,Others,-30388.96875,11081846
CB05,288,4.94058738365055e-10,73794288,HO2 + NO2 = HO2NO2,144005744,11081846
