Mechanism,Temperature,Max.NOx.Mixing.Ratio,Total.NOx.Emissions,Net.Reaction.Rate
MCMv3.2,288.5,1.69221481272075e-09,188833696,24361956
MCMv3.2,288.5,1.75215197906198e-09,194420896,25005252
MCMv3.2,288.5,1.81293569045948e-09,200030336,25640092
MCMv3.2,288.5,1.87456716815859e-09,205661072,26265994
MCMv3.2,288.5,1.93704741136003e-09,211312144,26882274
MCMv3.2,288.5,2.00037764130911e-09,216982576,27488146
MCMv3.2,288.5,2.06455874618428e-09,222671136,28083468
MCMv3.2,288.5,2.1295905039409e-09,228377056,28667646
MCMv3.2,288.5,2.16242490580498e-09,231236432,28955390
MCMv3.2,288.5,2.86474555188931e-09,289139136,34053620
MCMv3.2,288.5,3.65214947173342e-09,347954016,37844668
MCMv3.2,288.5,4.50986981093138e-09,407140192,40427132
MCMv3.2,288.5,5.42233902223188e-09,466284736,42010136
MCMv3.2,288.5,6.37381214474431e-09,525068832,42815596
MCMv3.2,288.5,7.35087102299303e-09,583271360,43041368
MCMv3.2,288.5,8.34272295691108e-09,640735616,42845756
MCMv3.2,288.5,9.34093691284943e-09,697357568,42351664
MCMv3.2,288.5,1.03391943895303e-08,753079808,41652056
MCMv3.2,288.5,1.13328946227398e-08,807879360,40816516
MCMv3.2,288.5,1.23184733524795e-08,861745280,39895380
MCMv3.2,288.5,1.32935724650451e-08,914687168,38925784
MCMv3.2,288.5,1.42563063576517e-08,966721344,37934708
MCMv3.2,288.5,1.52053871715907e-08,1017862592,36939336
MCMv3.2,288.5,1.61403583831543e-08,1068134528,35951772
MCMv3.2,288.5,1.70607421523528e-08,1117560192,34980888
MCMv3.2,288.5,1.79662258403823e-08,1166164864,34032676
MCMv3.2,288.5,1.88567135239737e-08,1213975936,33110894
MCMv3.2,288.5,1.97322620465457e-08,1261015296,32218070
MCMv3.2,288.5,2.05929637786539e-08,1307309440,31355708
MCMv3.2,288.5,2.14389928032688e-08,1352882304,30524568
MCMv3.2,288.5,2.22705089925057e-08,1397756672,29724070
MCMv3.2,288.5,2.30878391960232e-08,1441953920,28954350
MCMv3.2,288.5,2.38912889471976e-08,1485495808,28214248
MCMv3.2,288.5,2.46811620030485e-08,1528399616,27502832
MCMv3.2,288.5,2.54577834368774e-08,1570685184,26819302
MCMv3.2,288.5,2.62214854274134e-08,1612370944,26162378
MCMv3.2,288.5,2.69725290991119e-08,1653484288,25532186
MCMv3.2,288.5,2.77114118318877e-08,1694026112,24926510
MCMv3.2,288.5,2.84381922455168e-08,1734019456,24346002
MCMv3.2,288.5,2.91533872598393e-08,1773476736,23787888
MCMv3.2,288.5,2.98573397117252e-08,1812411008,23251004
MCMv3.2,288.5,3.05503853326172e-08,1850835840,22733786
MCMv3.2,288.5,3.12325667550795e-08,1888769280,22237436
MCMv3.2,288.5,3.19044204388774e-08,1926220928,21760748
MCMv3.2,288.5,3.25663833677936e-08,1963198592,21301884
MCMv3.2,288.5,3.32185301488153e-08,1999719168,20859420
MCMv3.2,288.5,3.38614789541225e-08,2035787520,20433404
MCMv3.2,288.5,3.44952866271342e-08,2071413248,20022040
MCMv3.2,288.5,3.51202018578078e-08,2106610816,19624402
MCMv3.2,289,4.80780259354274e-12,1390652.125,351030.46875
MCMv3.2,289,1.70657377118744e-11,4217411,999709.25
MCMv3.2,289,3.31970319289443e-11,7121589.5,1560222.75
MCMv3.2,289,5.25478549562308e-11,10116726,2049447.25
MCMv3.2,289,7.43949346571071e-11,13208964,2493742
MCMv3.2,289,9.81013048573232e-11,16400931,2913109.5
MCMv3.2,289,1.23336146851116e-10,19693894,3320751.75
MCMv3.2,289,1.49910056590485e-10,23088474,3725360.5
MCMv3.2,289,1.77713482818476e-10,26584782,4132796
MCMv3.2,289,2.06683462011803e-10,30182656,4547164
MCMv3.2,289,2.36927366614736e-10,33881536,4971392
MCMv3.2,289,2.68286559634845e-10,37680520,5407625
MCMv3.2,289,3.00735741864955e-10,41578444,5857355
MCMv3.2,289,3.34255595424438e-10,45573752,6321681.5
MCMv3.2,289,3.68828079189143e-10,49664560,6801256.5
MCMv3.2,289,4.04443922796816e-10,53848856,7296853
MCMv3.2,289,4.41088082725472e-10,58124228,7808562
MCMv3.2,289,4.78747375076694e-10,62488116,8336484.5
MCMv3.2,289,5.17408726974367e-10,66937700,8880404
MCMv3.2,289,5.57059176564678e-10,71469952,9440048
MCMv3.2,289,5.97685845260543e-10,76081792,10014931
MCMv3.2,289,6.3927563243027e-10,80769888,10604357
MCMv3.2,289,6.81815603975622e-10,85530976,11207701
MCMv3.2,289,7.25292437220304e-10,90361672,11824057
MCMv3.2,289,7.69693198066079e-10,95258752,12452460
MCMv3.2,289,8.15005063437013e-10,100218736,13091985
MCMv3.2,289,8.61215876390986e-10,105238432,13741561
MCMv3.2,289,9.08314534697752e-10,110314656,14400045
MCMv3.2,289,9.56291268394693e-10,115444304,15066161
MCMv3.2,289,1.00513763978682e-09,120624552,15738889
MCMv3.2,289,1.05483932699713e-09,125852328,16416846
MCMv3.2,289,1.1053962190033e-09,131125000,17098842
MCMv3.2,289,1.15680509615856e-09,136440128,17783764
MCMv3.2,289,1.20906240574925e-09,141795520,18470474
MCMv3.2,289,1.26216603835161e-09,147188656,19157636
MCMv3.2,289,1.3161144396534e-09,152617664,19844370
MCMv3.2,289,1.37090849783306e-09,158080752,20529552
MCMv3.2,289,1.42654466017689e-09,163575760,21211940
MCMv3.2,289,1.48302481406404e-09,169101264,21890606
MCMv3.2,289,1.54035051380674e-09,174655632,22564526
MCMv3.2,289,1.59852309167263e-09,180237392,23233122
MCMv3.2,289,1.65754432401855e-09,185845408,23895298
MCMv3.2,289,1.71741265653225e-09,191478160,24550186
