Mechanism,Temperature,Max.NOx.Mixing.Ratio,Total.NOx.Emissions,Net.Reaction.Rate
CB05,289,2.47498777028454e-09,293011968,38037220
CB05,289,3.20301651868249e-09,352535232,42112848
CB05,289,4.02393851572924e-09,412424928,44670936
CB05,289,4.93102625398478e-09,472260576,45965028
CB05,289,5.89450266375025e-09,531719648,46318020
CB05,289,6.89559431776843e-09,590576512,46014020
CB05,289,7.91900234276e-09,648674304,45285184
CB05,289,8.9529663682697e-09,705905856,44252924
CB05,289,9.98895544057632e-09,762216640,43050120
CB05,289,1.10209050774301e-08,817582336,41744768
CB05,289,1.20443717221974e-08,871994048,40395040
CB05,289,1.30563897471347e-08,925460352,39019808
CB05,289,1.40548488403169e-08,977997632,37684992
CB05,289,1.5038333245343e-08,1029624448,36388644
CB05,289,1.60059769882537e-08,1080366464,35123152
CB05,289,1.6957200088541e-08,1130245504,33893384
CB05,289,1.78917733961725e-08,1179288960,32721894
CB05,289,1.88096311859454e-08,1227523456,31606440
CB05,289,1.97108587229877e-08,1274974208,30539692
CB05,289,2.05956478538383e-08,1321665920,29515344
CB05,289,2.14642668083798e-08,1367624064,28535062
CB05,289,2.23171952029588e-08,1412874880,27600668
CB05,289,2.31546071205457e-08,1457436416,26712102
CB05,289,2.39769200049977e-08,1501331072,25874554
CB05,289,2.47845317602469e-08,1544579200,25076400
CB05,289,2.55779362134945e-08,1587203072,24314176
CB05,289,2.63575365977431e-08,1629222144,23584972
CB05,289,2.71236011428755e-08,1670647424,22888218
CB05,289,2.78765455163921e-08,1711498112,22223994
CB05,289,2.86168919672036e-08,1751792256,21590656
CB05,289,2.93449176069771e-08,1791543040,20986816
CB05,289,3.00609848125077e-08,1830765184,20410716
CB05,289,3.07654453024497e-08,1869470464,19863484
CB05,289,3.14588213257139e-08,1907678336,19345656
CB05,289,3.21413295978346e-08,1945396480,18852472
CB05,289,3.28132863103292e-08,1982636928,18379162
CB05,289,3.34750112074289e-08,2019411456,17924434
CB05,289,3.41267814008006e-08,2055728640,17487008
CB05,289,3.47689166346754e-08,2091597184,17065672
CB05,289,3.54017757331349e-08,2127036032,16659364
CB05,289.5,2.66923007134767e-12,1412116,569131.625
CB05,289.5,1.19985358454366e-11,4283070.5,1470254.875
CB05,289.5,2.62613542023615e-11,7233239.5,2135483
CB05,289.5,4.40385401756505e-11,10276169,2665201
CB05,289.5,6.41523431599289e-11,13417930,3125639.5
CB05,289.5,8.59230811500744e-11,16661075,3554544.75
CB05,289.5,1.09022499361622e-10,20006808,3973115
CB05,289.5,1.33178051919813e-10,23455684,4393323
CB05,289.5,1.58264901184424e-10,27007760,4822410
CB05,289.5,1.84208578946077e-10,30662792,5264774.5
CB05,289.5,2.10962664004555e-10,34420104,5722930
CB05,289.5,2.3849783259422e-10,38278812,6198594.5
CB05,289.5,2.66793087622119e-10,42237616,6692655
CB05,289.5,2.95834939878503e-10,46294844,7205762
CB05,289.5,3.25612425911004e-10,50448576,7738086
CB05,289.5,3.56123158740118e-10,54696660,8289792
CB05,289.5,3.87361587250723e-10,59036708,8860491
CB05,289.5,4.19324436284896e-10,63465992,9449750
CB05,289.5,4.52009318863134e-10,67981560,10057404
CB05,289.5,4.85414597406475e-10,72580392,10682441
CB05,289.5,5.19657983311106e-10,77259256,11323860
CB05,289.5,5.54690571252792e-10,82014784,11980621
CB05,289.5,5.90455961901881e-10,86843688,12652187
CB05,289.5,6.26954099747223e-10,91742528,13337397
CB05,289.5,6.64185595411482e-10,96707904,14035057
CB05,289.5,7.02151559117681e-10,101736360,14744117
CB05,289.5,7.40853434155753e-10,106824768,15463411
CB05,289.5,7.80293274438293e-10,111969728,16192519
CB05,289.5,8.20473744500561e-10,117168352,16930158
CB05,289.5,8.61398230522781e-10,122417616,17674780
CB05,289.5,9.03068730906398e-10,127714536,18424936
CB05,289.5,9.45488132231276e-10,133056464,19179540
CB05,289.5,9.88664039525133e-10,138440912,19937548
CB05,289.5,1.03260189288079e-09,143865648,20698056
CB05,289.5,1.07730746545798e-09,149328320,21460370
CB05,289.5,1.12278764063944e-09,154826896,22222738
CB05,289.5,1.16905041203097e-09,160359728,22983896
CB05,289.5,1.21610044256926e-09,165924688,23742338
CB05,289.5,1.26394728017232e-09,171520192,24497238
CB05,289.5,1.31259958457974e-09,177144896,25247440
CB05,289.5,1.36206623757573e-09,182797024,25992234
CB05,289.5,1.41235634298909e-09,188475520,26730688
CB05,289.5,1.46347933771551e-09,194179088,27461922
CB05,289.5,1.51544177207086e-09,199906576,28185050
CB05,289.5,1.56825441521846e-09,205656416,28899120
CB05,289.5,1.62192859143317e-09,211428112,29603584
CB05,289.5,1.67647318249919e-09,217220304,30297420
CB05,289.5,1.73189784735683e-09,223032080,30979740
CB05,289.5,1.78821113472338e-09,228862448,31650012
CB05,289.5,1.84542114922692e-09,234710352,32307752
CB05,289.5,1.87436488552351e-09,237640736,32631674
CB05,289.5,2.50775511467793e-09,296975584,38338412
CB05,289.5,3.24358673253755e-09,357227904,42437804
CB05,289.5,4.07255962286968e-09,417841120,44999216
CB05,289.5,4.98920948999171e-09,478388512,46284292
CB05,289.5,5.96295191002127e-09,538541888,46609000
CB05,289.5,6.97478608202573e-09,598072448,46274340
CB05,289.5,8.00920663124316e-09,656821312,45516608
CB05,289.5,9.0542719988207e-09,714679488,44449736
CB05,289.5,1.01013606368383e-08,771593344,43215980
CB05,289.5,1.11442801653538e-08,827540672,41879144
CB05,289.5,1.21785417306342e-08,882510784,40497216
CB05,289.5,1.32011095388407e-08,936515584,39090100
CB05,289.5,1.42098350863762e-08,989569792,37737892
CB05,289.5,1.5203227121674e-08,1041691584,36415508
CB05,289.5,1.61804827314427e-08,1092910208,35126160
CB05,289.5,1.71410672322736e-08,1143251712,33877280
CB05,289.5,1.80847052888566e-08,1192742144,32683916
CB05,289.5,1.90113222942045e-08,1241408640,31554276
CB05,289.5,1.99210177243003e-08,1289276928,30470262
CB05,289.5,2.08139923074668e-08,1336373760,29431462
CB05,289.5,2.16905942096446e-08,1382727040,28440676
CB05,289.5,2.25511413987078e-08,1428358528,27498436
CB05,289.5,2.33959447371035e-08,1473288960,26603006
CB05,289.5,2.42254003524067e-08,1517542784,25750016
CB05,289.5,2.50400322698852e-08,1561142656,24943196
CB05,289.5,2.58402010899772e-08,1604108800,24172304
CB05,289.5,2.66262230042003e-08,1646455168,23435570
CB05,289.5,2.73985349963368e-08,1688200192,22733406
CB05,289.5,2.81575314176052e-08,1729362688,22064628
CB05,289.5,2.89037345169163e-08,1769962624,21427068
CB05,289.5,2.96374285113643e-08,1810011136,20822306
CB05,289.5,3.03589864358855e-08,1849521280,20245714
CB05,289.5,3.10687759963457e-08,1888509440,19697754
