Mechanism,Temperature,Max.NOx.Mixing.Ratio,Total.NOx.Emissions,Net.Reaction.Rate
MOZART-4,289,1.36445563181375e-10,23088474,4348682.5
MOZART-4,289,1.64381633305233e-10,26584782,4750536
MOZART-4,289,1.93765156697445e-10,30182656,5142770
MOZART-4,289,2.24474563936816e-10,33881536,5532311
MOZART-4,289,2.56424992350901e-10,37680520,5924389
MOZART-4,289,2.89553658827657e-10,41578444,6322902.5
MOZART-4,289,3.23813698077657e-10,45573752,6730731
MOZART-4,289,3.59166529850796e-10,49664560,7150008
MOZART-4,289,3.95586424728478e-10,53848860,7582201.5
MOZART-4,289,4.3304643204678e-10,58124224,8028286
MOZART-4,289,4.71523819989272e-10,62488116,8488908
MOZART-4,289,5.11130082703204e-10,66937700,8964519
MOZART-4,289,5.51724332886749e-10,71469960,9455072
MOZART-4,289,5.93273929982985e-10,76081792,9960260
MOZART-4,289,6.35759667133584e-10,80769888,10479651
MOZART-4,289,6.79163891792456e-10,85530976,11012799
MOZART-4,289,7.23470283681138e-10,90361672,11558930
MOZART-4,289,7.68664354389159e-10,95258752,12117054
MOZART-4,289,8.14732947773678e-10,100218736,12686175
MOZART-4,289,8.61664573026388e-10,105238432,13265275
MOZART-4,289,9.09448960584314e-10,110314640,13853167
MOZART-4,289,9.58077617241315e-10,115444304,14448636
MOZART-4,289,1.00754338205888e-09,120624552,15050533
MOZART-4,289,1.0578363740521e-09,125852328,15657616
MOZART-4,289,1.10895492788643e-09,131125000,16268608
MOZART-4,289,1.16089693413812e-09,136440128,16882288
MOZART-4,289,1.21366028338343e-09,141795520,17497426
MOZART-4,289,1.26724464255545e-09,147188656,18112870
MOZART-4,289,1.3216505667657e-09,152617664,18727516
MOZART-4,289,1.37688116463863e-09,158080736,19340270
MOZART-4,289,1.43293521492893e-09,163575760,19949960
MOZART-4,289,1.48981715852869e-09,169101264,20555658
MOZART-4,289,1.54753143633002e-09,174655632,21156490
MOZART-4,289,1.60608271126961e-09,180237392,21751522
MOZART-4,289,1.66547564628416e-09,185845408,22339948
MOZART-4,289,1.72571434919888e-09,191478160,22920978
MOZART-4,289,1.78680137352671e-09,197134320,23494112
MOZART-4,289,1.84874637820798e-09,202813248,24058484
MOZART-4,289,1.91155491435779e-09,208513584,24613526
MOZART-4,289,1.97523175593517e-09,214234240,25158692
MOZART-4,289,2.03978234303293e-09,219974320,25693376
MOZART-4,289,2.10521156063237e-09,225732816,26217118
MOZART-4,289,2.17152340553639e-09,231508832,26729428
MOZART-4,289,2.20501128467276e-09,234403280,26981142
MOZART-4,289,2.92166602022803e-09,293011968,31344390
MOZART-4,289,3.72567088291476e-09,352535232,34373628
MOZART-4,289,4.60738691643314e-09,412424928,36197096
MOZART-4,289,5.55112222855314e-09,472260576,37066476
MOZART-4,289,6.53956977458847e-09,531719648,37244320
MOZART-4,289,7.55729701040764e-09,590576512,36945104
MOZART-4,289,8.5916740388825e-09,648674304,36323732
MOZART-4,289,9.63282076327232e-09,705905856,35501912
MOZART-4,289,1.06735038585271e-08,762216640,34557364
MOZART-4,289,1.17084768547215e-08,817582336,33553424
MOZART-4,289,1.27338388722364e-08,871994048,32523452
MOZART-4,289,1.37469609029495e-08,925460352,31502302
MOZART-4,289,1.47459662258598e-08,977997632,30502920
MOZART-4,289,1.57295829694704e-08,1029624448,29530148
MOZART-4,289,1.66970348658424e-08,1080366464,28589012
MOZART-4,289,1.7647812100563e-08,1130245504,27682104
MOZART-4,289,1.85817334852345e-08,1179288960,26821368
MOZART-4,289,1.94987670454339e-08,1227523456,26000076
MOZART-4,289,2.03990300207124e-08,1274974208,25211902
MOZART-4,289,2.12827337975341e-08,1321665920,24457340
MOZART-4,289,2.21501679220637e-08,1367624064,23736170
MOZART-4,289,2.30018137870047e-08,1412874880,23051452
MOZART-4,289,2.38378756733937e-08,1457436416,22398850
MOZART-4,289,2.46587728014447e-08,1501331072,21774706
MOZART-4,289,2.54649101805171e-08,1544579200,21178166
MOZART-4,289,2.6256795848667e-08,1587203072,20607602
MOZART-4,289,2.7034833038897e-08,1629222144,20061842
MOZART-4,289,2.77992988628739e-08,1670647424,19540104
MOZART-4,289,2.85506196462393e-08,1711498112,19040752
MOZART-4,289,2.92893176379039e-08,1751792256,18561862
MOZART-4,289,3.00156699495346e-08,1791543040,18102808
MOZART-4,289,3.07300531687815e-08,1830765184,17663688
MOZART-4,289,3.14328190142987e-08,1869470464,17241270
MOZART-4,289,3.2124489734997e-08,1907678336,16839212
MOZART-4,289,3.28052820464109e-08,1945396480,16443088
MOZART-4,289,3.3475519245485e-08,1982636928,16072484
MOZART-4,289,3.41355246291641e-08,2019411456,15717580
MOZART-4,289,3.47855717564016e-08,2055728640,15376203
MOZART-4,289,3.54259910295696e-08,2091597184,15048988
MOZART-4,289,3.60571306146085e-08,2127036032,14734192
MOZART-4,289.5,4.91622844864259e-12,1412116,349292.15625
MOZART-4,289.5,1.56915938576141e-11,4283070.5,1084244.875
MOZART-4,289.5,2.9100267334714e-11,7233239.5,1784120.125
MOZART-4,289.5,4.57536994402652e-11,10276169,2413546
MOZART-4,289.5,6.5600587462189e-11,13417930,2969544
MOZART-4,289.5,8.81467260294144e-11,16661075,3465522.25
MOZART-4,289.5,1.12917897254761e-10,20006808,3917853.5
MOZART-4,289.5,1.39677852617481e-10,23455684,4340729.5
MOZART-4,289.5,1.68111122245129e-10,27007760,4745558
MOZART-4,289.5,1.9800502903955e-10,30662792,5141267
MOZART-4,289.5,2.29238447668756e-10,34420104,5534700
MOZART-4,289.5,2.61726862404998e-10,38278812,5931028.5
MOZART-4,289.5,2.95406726857905e-10,42237616,6334146
MOZART-4,289.5,3.30231009204596e-10,46294844,6746877.5
MOZART-4,289.5,3.66160213260969e-10,50448576,7171348
MOZART-4,289.5,4.03168165519219e-10,54696660,7608995
MOZART-4,289.5,4.41227082648155e-10,59036708,8060759
MOZART-4,289.5,4.80332718044707e-10,63465992,8527296
MOZART-4,289.5,5.20563814276898e-10,67981560,9009054
MOZART-4,289.5,5.61778068508545e-10,72580392,9505882
MOZART-4,289.5,6.03954108946425e-10,77259256,10017478
MOZART-4,289.5,6.47072118109548e-10,82014784,10543369
MOZART-4,289.5,6.9111383282916e-10,86843688,11083092
MOZART-4,289.5,7.36062322204134e-10,91742528,11635817
MOZART-4,289.5,7.8190265373479e-10,96707904,12200545
MOZART-4,289.5,8.2862144923368e-10,101736360,12776259
MOZART-4,289.5,8.76206607269836e-10,106824768,13361876
MOZART-4,289.5,9.24648024813735e-10,111969728,13956221
MOZART-4,289.5,9.73936598036573e-10,117168352,14558088
MOZART-4,289.5,1.02406527702215e-09,122417616,15166202
MOZART-4,289.5,1.07502573509777e-09,127714536,15779385
MOZART-4,289.5,1.12681231012601e-09,133056464,16396270
MOZART-4,289.5,1.17942500210688e-09,138440912,17015622
MOZART-4,289.5,1.23286181263893e-09,143865648,17636356
MOZART-4,289.5,1.28712218661065e-09,149328320,18257144
MOZART-4,289.5,1.34220679015584e-09,154826896,18876852
MOZART-4,289.5,1.39811850985438e-09,160359728,19494376
MOZART-4,289.5,1.45485634650555e-09,165924688,20108668
MOZART-4,289.5,1.51242507406835e-09,171520192,20718734
MOZART-4,289.5,1.57082924445717e-09,177144896,21323636
MOZART-4,289.5,1.63007318754183e-09,182797024,21922468
MOZART-4,289.5,1.69016223239282e-09,188475520,22514546
MOZART-4,289.5,1.75110148603608e-09,194179088,23099104
MOZART-4,289.5,1.81289316891764e-09,199906576,23675390
MOZART-4,289.5,1.87554505259868e-09,205656416,24242792
MOZART-4,289.5,1.93906424250656e-09,211428112,24800756
MOZART-4,289.5,2.00345651180101e-09,217220304,25348638
MOZART-4,289.5,2.06872652341872e-09,223032080,25885740
MOZART-4,289.5,2.13488005051943e-09,228862448,26411792
MOZART-4,289.5,2.20192086786142e-09,234710352,26926220
MOZART-4,289.5,2.23577556468513e-09,237640736,27178946
MOZART-4,289.5,2.96009616818083e-09,296975584,31552564
MOZART-4,289.5,3.77257380890228e-09,357227904,34578572
MOZART-4,289.5,4.66367477969243e-09,417841120,36383712
MOZART-4,289.5,5.6176205909253e-09,478388512,37226552
MOZART-4,289.5,6.61690879866228e-09,538541888,37369980
MOZART-4,289.5,7.64587237966907e-09,598072448,37032136
MOZART-4,289.5,8.6916722707997e-09,656821312,36383560
MOZART-4,289.5,9.74426228594893e-09,714679488,35528252
MOZART-4,289.5,1.07963202822248e-08,771593344,34554796
MOZART-4,289.5,1.18424843265075e-08,827540672,33524938
MOZART-4,289.5,1.28788126829704e-08,882510784,32477018
MOZART-4,289.5,1.39026177237156e-08,936515584,31439918
MOZART-4,289.5,1.49119934178543e-08,989569792,30424356
MOZART-4,289.5,1.59055879578318e-08,1041691584,29436236
MOZART-4,289.5,1.68826979063397e-08,1092910208,28480384
MOZART-4,289.5,1.78428614105997e-08,1143251712,27564422
MOZART-4,289.5,1.878585464965e-08,1192742144,26698350
MOZART-4,289.5,1.97116438727107e-08,1241408640,25866530
MOZART-4,289.5,2.06203569774743e-08,1289276928,25069372
MOZART-4,289.5,2.15122160085457e-08,1336373760,24306918
MOZART-4,289.5,2.23875886717906e-08,1382727040,23581208
MOZART-4,289.5,2.32468124750085e-08,1428358528,22892546
MOZART-4,289.5,2.4090212491501e-08,1473288960,22234494
MOZART-4,289.5,2.49181937306275e-08,1517542784,21605938
MOZART-4,289.5,2.57312890994399e-08,1561142656,21005694
MOZART-4,289.5,2.65298680801607e-08,1604108800,20432472
MOZART-4,289.5,2.73142592988052e-08,1646455168,19879130
MOZART-4,289.5,2.80849015155127e-08,1688200192,19354904
MOZART-4,289.5,2.88422015159995e-08,1729362688,18853174
MOZART-4,289.5,2.95866815491763e-08,1769962624,18372248
MOZART-4,289.5,3.03186276084944e-08,1810011136,17911984
MOZART-4,289.5,3.10384251633877e-08,1849521280,17469828
MOZART-4,289.5,3.17464419197222e-08,1888509440,17050230
MOZART-4,289.5,3.24432249954043e-08,1926993408,16647754
MOZART-4,289.5,3.31289555788317e-08,1964981504,16261527
MOZART-4,289.5,3.38039782832311e-08,2002484352,15892290
MOZART-4,289.5,3.44686199582611e-08,2039514240,15537817
MOZART-4,289.5,3.51231790318707e-08,2076081280,15197425
MOZART-4,289.5,3.5768007222714e-08,2112198528,14870530
MOZART-4,289.5,3.64034100641675e-08,2147875584,14555928
MOZART-4,290,5.07731877374962e-12,1433915.5,346114.125
MOZART-4,290,1.62009294868426e-11,4349786,1076865.25
MOZART-4,290,3.00081279269726e-11,7346753,1773421
MOZART-4,290,4.71348030051111e-11,10438324,2400246
MOZART-4,290,6.744505648415e-11,13630507,2954840.25
MOZART-4,290,9.04631716758253e-11,16925788,3450681.75
MOZART-4,290,1.15733853056632e-10,20325284,3904003.5
MOZART-4,290,1.43028658361466e-10,23829506,4328802
MOZART-4,290,1.71972380780261e-10,27438386,4736270.5
MOZART-4,290,2.02390201820002e-10,31151670,5135163
MOZART-4,290,2.34161301460034e-10,34968636,5532259.5
MOZART-4,290,2.67201205605971e-10,38888288,5932670
MOZART-4,290,3.01446090311686e-10,42909140,6340210
MOZART-4,290,3.36848493542874e-10,47029584,6757688.5
MOZART-4,290,3.73368169714894e-10,51247504,7187206
MOZART-4,290,4.10978362452852e-10,55560736,7630150
MOZART-4,290,4.49650566780591e-10,59966780,8087463.5
MOZART-4,290,4.89418838789391e-10,64462788,8559803
MOZART-4,290,5.30277821653158e-10,69045752,9047544
MOZART-4,290,5.72127345499496e-10,73712512,9550500
MOZART-4,290,6.14945316890214e-10,78459832,10068355
MOZART-4,290,6.58711141188206e-10,83284176,10600608
MOZART-4,290,7.03405833579751e-10,88182304,11146758
MOZART-4,290,7.49012185607967e-10,93150728,11705927
MOZART-4,290,7.9551470966166e-10,98185864,12277077
MOZART-4,290,8.42899527953023e-10,103284248,12859184
MOZART-4,290,8.91154483539935e-10,108442800,13451172
MOZART-4,290,9.4026886277021e-10,113658104,14051801
MOZART-4,290,9.90233672837348e-10,118927152,14659819
MOZART-4,290,1.04104125320248e-09,124246920,15273977
MOZART-4,290,1.09268571968357e-09,129614544,15893024
MOZART-4,290,1.14515730231801e-09,135027264,16515661
MOZART-4,290,1.19845700030652e-09,140482576,17140586
MOZART-4,290,1.25258348138146e-09,145978288,17766564
MOZART-4,290,1.30753607940903e-09,151512016,18392324
MOZART-4,290,1.36331546052304e-09,157082016,19016808
MOZART-4,290,1.41992406721414e-09,162686240,19638922
MOZART-4,290,1.47736167743773e-09,168322704,20257512
MOZART-4,290,1.53563328719741e-09,173990080,20871592
MOZART-4,290,1.59474300431839e-09,179686752,21480256
MOZART-4,290,1.65469560275966e-09,185411232,22082756
MOZART-4,290,1.71549630056944e-09,191162160,22678254
MOZART-4,290,1.77715064886286e-09,196938368,23266014
MOZART-4,290,1.83966419875503e-09,202738720,23845412
MOZART-4,290,1.9030386155805e-09,208561744,24415676
MOZART-4,290,1.96728389134648e-09,214406592,24976152
MOZART-4,290,2.03240624330192e-09,220272400,25526514
MOZART-4,290,2.09841122256194e-09,226157616,26066056
MOZART-4,290,2.16530393615244e-09,232061792,26594258
MOZART-4,290,2.23308904701014e-09,237983728,27110738
MOZART-4,290,2.26731788899315e-09,240951232,27364410
MOZART-4,290,2.99945801529589e-09,301032800,31748512
MOZART-4,290,3.82057496750576e-09,362035840,34768932
MOZART-4,290,4.72125849526606e-09,423394112,36555612
MOZART-4,290,5.6856492847146e-09,484674240,37369268
MOZART-4,290,6.6960428313223e-09,545542464,37476696
MOZART-4,290,7.73653319185996e-09,605766144,37104460
MOZART-4,290,8.79406591991483e-09,665184000,36420708
MOZART-4,290,9.85842163458983e-09,723686272,35526652
MOZART-4,290,1.09221698352258e-08,781220800,34527152
MOZART-4,290,1.19798393427573e-08,837763136,33477088
MOZART-4,290,1.30274386833662e-08,893305856,32405548
MOZART-4,290,1.40622189448436e-08,947860800,31354384
MOZART-4,290,1.5082244786413e-08,1001443200,30321798
MOZART-4,290,1.60861581832705e-08,1054073856,29317552
MOZART-4,290,1.70731979665106e-08,1105780736,28346168
MOZART-4,290,1.80429005069982e-08,1156590720,27428526
MOZART-4,290,1.8995201855887e-08,1206537472,26551870
MOZART-4,290,1.99299634573435e-08,1255644160,25709638
MOZART-4,290,2.08473327489855e-08,1303938048,24903810
MOZART-4,290,2.17475424335589e-08,1351446528,24135090
MOZART-4,290,2.26310277184893e-08,1398200576,23406870
MOZART-4,290,2.34980213065228e-08,1444216832,22712350
MOZART-4,290,2.43489193252344e-08,1489521536,22045894
