Mechanism,Temperature,NOx.Emissions,Rate.Constant
MCMv3.2,289,1791543040,7.10993554093875e-05
MCMv3.2,289,1830765184,7.10993554093875e-05
MCMv3.2,289,1869470592,7.10993554093875e-05
MCMv3.2,289,1907678336,7.10993554093875e-05
MCMv3.2,289,1945396480,7.10993554093875e-05
MCMv3.2,289,1982636928,7.10993554093875e-05
MCMv3.2,289,2019411456,7.10993554093875e-05
MCMv3.2,289,2055728640,7.10993554093875e-05
MCMv3.2,289,2091597184,7.10993554093875e-05
MCMv3.2,289,2127036288,7.10993554093875e-05
MCMv3.2,289.5,1412116.125,7.71745981182903e-05
MCMv3.2,289.5,4283070.5,7.71745981182903e-05
MCMv3.2,289.5,7233239.5,7.71745981182903e-05
MCMv3.2,289.5,10276169,7.71745981182903e-05
MCMv3.2,289.5,13417930,7.71745981182903e-05
MCMv3.2,289.5,16661075,7.71745981182903e-05
MCMv3.2,289.5,20006808,7.71745981182903e-05
MCMv3.2,289.5,23455686,7.71745981182903e-05
MCMv3.2,289.5,27007756,7.71745981182903e-05
MCMv3.2,289.5,30662790,7.71745981182903e-05
MCMv3.2,289.5,34420104,7.71745981182903e-05
MCMv3.2,289.5,38278812,7.71745981182903e-05
MCMv3.2,289.5,42237616,7.71745981182903e-05
MCMv3.2,289.5,46294844,7.71745981182903e-05
MCMv3.2,289.5,50448576,7.71745981182903e-05
MCMv3.2,289.5,54696660,7.71745981182903e-05
MCMv3.2,289.5,59036708,7.71745981182903e-05
MCMv3.2,289.5,63465992,7.71745981182903e-05
MCMv3.2,289.5,67981560,7.71745981182903e-05
MCMv3.2,289.5,72580392,7.71745981182903e-05
MCMv3.2,289.5,77259256,7.71745981182903e-05
MCMv3.2,289.5,82014784,7.71745981182903e-05
MCMv3.2,289.5,86843680,7.71745981182903e-05
MCMv3.2,289.5,91742528,7.71745981182903e-05
MCMv3.2,289.5,96707904,7.71745981182903e-05
MCMv3.2,289.5,101736360,7.71745981182903e-05
MCMv3.2,289.5,106824776,7.71745981182903e-05
MCMv3.2,289.5,111969728,7.71745981182903e-05
MCMv3.2,289.5,117168344,7.71745981182903e-05
MCMv3.2,289.5,122417616,7.71745981182903e-05
MCMv3.2,289.5,127714536,7.71745981182903e-05
MCMv3.2,289.5,133056464,7.71745981182903e-05
MCMv3.2,289.5,138440912,7.71745981182903e-05
MCMv3.2,289.5,143865648,7.71745981182903e-05
MCMv3.2,289.5,149328336,7.71745981182903e-05
MCMv3.2,289.5,154826896,7.71745981182903e-05
MCMv3.2,289.5,160359728,7.71745981182903e-05
MCMv3.2,289.5,165924688,7.71745981182903e-05
MCMv3.2,289.5,171520192,7.71745981182903e-05
MCMv3.2,289.5,177144896,7.71745981182903e-05
MCMv3.2,289.5,182797024,7.71745981182903e-05
MCMv3.2,289.5,188475520,7.71745981182903e-05
MCMv3.2,289.5,194179088,7.71745981182903e-05
MCMv3.2,289.5,199906576,7.71745981182903e-05
MCMv3.2,289.5,205656416,7.71745981182903e-05
MCMv3.2,289.5,211428112,7.71745981182903e-05
MCMv3.2,289.5,217220320,7.71745981182903e-05
MCMv3.2,289.5,223032080,7.71745981182903e-05
MCMv3.2,289.5,228862448,7.71745981182903e-05
MCMv3.2,289.5,234710352,7.71745981182903e-05
MCMv3.2,289.5,237640736,7.71745981182903e-05
MCMv3.2,289.5,296975584,7.71745981182903e-05
MCMv3.2,289.5,357227904,7.71745981182903e-05
MCMv3.2,289.5,417841120,7.71745981182903e-05
MCMv3.2,289.5,478388512,7.71745981182903e-05
MCMv3.2,289.5,538541888,7.71745981182903e-05
MCMv3.2,289.5,598072448,7.71745981182903e-05
MCMv3.2,289.5,656821248,7.71745981182903e-05
MCMv3.2,289.5,714679488,7.71745981182903e-05
MCMv3.2,289.5,771593344,7.71745981182903e-05
MCMv3.2,289.5,827540736,7.71745981182903e-05
MCMv3.2,289.5,882510784,7.71745981182903e-05
MCMv3.2,289.5,936515584,7.71745981182903e-05
MCMv3.2,289.5,989569792,7.71745981182903e-05
MCMv3.2,289.5,1041691584,7.71745981182903e-05
MCMv3.2,289.5,1092910208,7.71745981182903e-05
MCMv3.2,289.5,1143251712,7.71745981182903e-05
MCMv3.2,289.5,1192742144,7.71745981182903e-05
MCMv3.2,289.5,1241408512,7.71745981182903e-05
MCMv3.2,289.5,1289276928,7.71745981182903e-05
MCMv3.2,289.5,1336373888,7.71745981182903e-05
MCMv3.2,289.5,1382727168,7.71745981182903e-05
MCMv3.2,289.5,1428358528,7.71745981182903e-05
MCMv3.2,289.5,1473288960,7.71745981182903e-05
MCMv3.2,289.5,1517542784,7.71745981182903e-05
MCMv3.2,289.5,1561142784,7.71745981182903e-05
MCMv3.2,289.5,1604108800,7.71745981182903e-05
MCMv3.2,289.5,1646455168,7.71745981182903e-05
MCMv3.2,289.5,1688200192,7.71745981182903e-05
MCMv3.2,289.5,1729362688,7.71745981182903e-05
MCMv3.2,289.5,1769962752,7.71745981182903e-05
MCMv3.2,289.5,1810011136,7.71745981182903e-05
MCMv3.2,289.5,1849521280,7.71745981182903e-05
MCMv3.2,289.5,1888509568,7.71745981182903e-05
MCMv3.2,289.5,1926993408,7.71745981182903e-05
MCMv3.2,289.5,1964981632,7.71745981182903e-05
MCMv3.2,289.5,2002484352,7.71745981182903e-05
MCMv3.2,289.5,2039514240,7.71745981182903e-05
MCMv3.2,289.5,2076081280,7.71745981182903e-05
MCMv3.2,289.5,2112198656,7.71745981182903e-05
MCMv3.2,289.5,2147875584,7.71745981182903e-05
MCMv3.2,290,1433915.5,8.37450425024144e-05
MCMv3.2,290,4349786,8.37450425024144e-05
MCMv3.2,290,7346753,8.37450425024144e-05
MCMv3.2,290,10438325,8.37450425024144e-05
MCMv3.2,290,13630507,8.37450425024144e-05
MCMv3.2,290,16925788,8.37450425024144e-05
MCMv3.2,290,20325284,8.37450425024144e-05
MCMv3.2,290,23829506,8.37450425024144e-05
MCMv3.2,290,27438386,8.37450425024144e-05
MCMv3.2,290,31151670,8.37450425024144e-05
MCMv3.2,290,34968636,8.37450425024144e-05
MCMv3.2,290,38888288,8.37450425024144e-05
MCMv3.2,290,42909140,8.37450425024144e-05
MCMv3.2,290,47029584,8.37450425024144e-05
MCMv3.2,290,51247504,8.37450425024144e-05
MCMv3.2,290,55560736,8.37450425024144e-05
MCMv3.2,290,59966784,8.37450425024144e-05
MCMv3.2,290,64462788,8.37450425024144e-05
MCMv3.2,290,69045752,8.37450425024144e-05
MCMv3.2,290,73712512,8.37450425024144e-05
MCMv3.2,290,78459832,8.37450425024144e-05
MCMv3.2,290,83284176,8.37450425024144e-05
MCMv3.2,290,88182312,8.37450425024144e-05
MCMv3.2,290,93150728,8.37450425024144e-05
MCMv3.2,290,98185864,8.37450425024144e-05
MCMv3.2,290,103284248,8.37450425024144e-05
MCMv3.2,290,108442800,8.37450425024144e-05
MCMv3.2,290,113658104,8.37450425024144e-05
MCMv3.2,290,118927152,8.37450425024144e-05
MCMv3.2,290,124246912,8.37450425024144e-05
MCMv3.2,290,129614536,8.37450425024144e-05
MCMv3.2,290,135027264,8.37450425024144e-05
MCMv3.2,290,140482576,8.37450425024144e-05
MCMv3.2,290,145978288,8.37450425024144e-05
MCMv3.2,290,151512032,8.37450425024144e-05
MCMv3.2,290,157082016,8.37450425024144e-05
MCMv3.2,290,162686240,8.37450425024144e-05
MCMv3.2,290,168322704,8.37450425024144e-05
MCMv3.2,290,173990080,8.37450425024144e-05
MCMv3.2,290,179686752,8.37450425024144e-05
MCMv3.2,290,185411232,8.37450425024144e-05
MCMv3.2,290,191162160,8.37450425024144e-05
MCMv3.2,290,196938368,8.37450425024144e-05
MCMv3.2,290,202738720,8.37450425024144e-05
MCMv3.2,290,208561744,8.37450425024144e-05
MCMv3.2,290,214406592,8.37450425024144e-05
MCMv3.2,290,220272400,8.37450425024144e-05
MCMv3.2,290,226157616,8.37450425024144e-05
MCMv3.2,290,232061792,8.37450425024144e-05
MCMv3.2,290,237983728,8.37450425024144e-05
MCMv3.2,290,240951232,8.37450425024144e-05
MCMv3.2,290,301032800,8.37450425024144e-05
MCMv3.2,290,362035872,8.37450425024144e-05
MCMv3.2,290,423394112,8.37450425024144e-05
MCMv3.2,290,484674272,8.37450425024144e-05
MCMv3.2,290,545542400,8.37450425024144e-05
MCMv3.2,290,605766080,8.37450425024144e-05
MCMv3.2,290,665184000,8.37450425024144e-05
MCMv3.2,290,723686272,8.37450425024144e-05
MCMv3.2,290,781220800,8.37450425024144e-05
MCMv3.2,290,837763136,8.37450425024144e-05
MCMv3.2,290,893305856,8.37450425024144e-05
MCMv3.2,290,947860800,8.37450425024144e-05
MCMv3.2,290,1001443200,8.37450425024144e-05
MCMv3.2,290,1054073792,8.37450425024144e-05
MCMv3.2,290,1105780736,8.37450425024144e-05
MCMv3.2,290,1156590720,8.37450425024144e-05
MCMv3.2,290,1206537472,8.37450425024144e-05
MCMv3.2,290,1255644160,8.37450425024144e-05
MCMv3.2,290,1303938304,8.37450425024144e-05
MCMv3.2,290,1351446528,8.37450425024144e-05
MCMv3.2,290,1398200576,8.37450425024144e-05
MCMv3.2,290,1444216704,8.37450425024144e-05
MCMv3.2,290,1489521536,8.37450425024144e-05
MCMv3.2,290,1534142208,8.37450425024144e-05
MCMv3.2,290,1578097920,8.37450425024144e-05
MCMv3.2,290,1621406336,8.37450425024144e-05
MCMv3.2,290,1664085120,8.37450425024144e-05
MCMv3.2,290,1706154880,8.37450425024144e-05
MCMv3.2,290,1747633536,8.37450425024144e-05
